region_name,region_type,parent_region_code,region_code,region_code_level,region_code_type,leaf_region_code,country_iso_3166-1_alpha-2,country_iso_3166-1_alpha-3,country_iso_3166-1_numeric,level_1_region_code,level_2_region_code,level_3_region_code,datacommons_name,datacommons_id,wikidata_id
Cooke County,county,US-TX,US-TX-48097,3,fips_6-4,48097,US,USA,840,USA,US-TX,US-TX-48097,Cooke County,geoId/48097,Q109636
King and Queen County,county,US-VA,US-VA-51097,3,fips_6-4,51097,US,USA,840,USA,US-VA,US-VA-51097,King and Queen County,geoId/51097,Q337067
Upshur County,county,US-WV,US-WV-54097,3,fips_6-4,54097,US,USA,840,USA,US-WV,US-WV-54097,Upshur County,geoId/54097,Q495175
Portage County,county,US-WI,US-WI-55097,3,fips_6-4,55097,US,USA,840,USA,US-WI,US-WI-55097,Portage County,geoId/55097,Q500908
Mayagüez Municipio,county,US-PR,US-PR-72097,3,fips_6-4,72097,US,USA,840,USA,US-PR,US-PR-72097,Mayagüez,geoId/72097,Q632727
Monroe County,county,US-AL,US-AL-01099,3,fips_6-4,01099,US,USA,840,USA,US-AL,US-AL-01099,Monroe County,geoId/01099,Q501060
Nevada County,county,US-AR,US-AR-05099,3,fips_6-4,05099,US,USA,840,USA,US-AR,US-AR-05099,Nevada County,geoId/05099,Q61500
Stanislaus County,county,US-CA,US-CA-06099,3,fips_6-4,06099,US,USA,840,USA,US-CA,US-CA-06099,Stanislaus County,geoId/06099,Q108503
Prowers County,county,US-CO,US-CO-08099,3,fips_6-4,08099,US,USA,840,USA,US-CO,US-CO-08099,Prowers County,geoId/08099,Q175035
Palm Beach County,county,US-FL,US-FL-12099,3,fips_6-4,12099,US,USA,840,USA,US-FL,US-FL-12099,Palm Beach County,geoId/12099,Q484294
Early County,county,US-GA,US-GA-13099,3,fips_6-4,13099,US,USA,840,USA,US-GA,US-GA-13099,Early County,geoId/13099,Q486757
LaSalle County,county,US-IL,US-IL-17099,3,fips_6-4,17099,US,USA,840,USA,US-IL,US-IL-17099,LaSalle County,geoId/17099,Q487003
Marshall County,county,US-IN,US-IN-18099,3,fips_6-4,18099,US,USA,840,USA,US-IN,US-IN-18099,Marshall County,geoId/18099,Q540907
Jasper County,county,US-IA,US-IA-19099,3,fips_6-4,19099,US,USA,840,USA,US-IA,US-IA-19099,Jasper County,geoId/19099,Q485736
Labette County,county,US-KS,US-KS-20099,3,fips_6-4,20099,US,USA,840,USA,US-KS,US-KS-20099,Labette County,geoId/20099,Q181325
Hart County,county,US-KY,US-KY-21099,3,fips_6-4,21099,US,USA,840,USA,US-KY,US-KY-21099,Hart County,geoId/21099,Q491911
St. Martin Parish,county,US-LA,US-LA-22099,3,fips_6-4,22099,US,USA,840,USA,US-LA,US-LA-22099,St. Martin Parish,geoId/22099,Q512868
Macomb County,county,US-MI,US-MI-26099,3,fips_6-4,26099,US,USA,840,USA,US-MI,US-MI-26099,Macomb County,geoId/26099,Q133857
Mower County,county,US-MN,US-MN-27099,3,fips_6-4,27099,US,USA,840,USA,US-MN,US-MN-27099,Mower County,geoId/27099,Q490450
Neshoba County,county,US-MS,US-MS-28099,3,fips_6-4,28099,US,USA,840,USA,US-MS,US-MS-28099,Neshoba County,geoId/28099,Q426398
Jefferson County,county,US-MO,US-MO-29099,3,fips_6-4,29099,US,USA,840,USA,US-MO,US-MO-29099,Jefferson County,geoId/29099,Q489993
Teton County,county,US-MT,US-MT-30099,3,fips_6-4,30099,US,USA,840,USA,US-MT,US-MT-30099,Teton County,geoId/30099,Q496685
Kearney County,county,US-NE,US-NE-31099,3,fips_6-4,31099,US,USA,840,USA,US-NE,US-NE-31099,Kearney County,geoId/31099,Q507266
Seneca County,county,US-NY,US-NY-36099,3,fips_6-4,36099,US,USA,840,USA,US-NY,US-NY-36099,Seneca County,geoId/36099,Q71136
Jackson County,county,US-NC,US-NC-37099,3,fips_6-4,37099,US,USA,840,USA,US-NC,US-NC-37099,Jackson County,geoId/37099,Q502521
Walsh County,county,US-ND,US-ND-38099,3,fips_6-4,38099,US,USA,840,USA,US-ND,US-ND-38099,Walsh County,geoId/38099,Q28286
Mahoning County,county,US-OH,US-OH-39099,3,fips_6-4,39099,US,USA,840,USA,US-OH,US-OH-39099,Mahoning County,geoId/39099,Q485502
Murray County,county,US-OK,US-OK-40099,3,fips_6-4,40099,US,USA,840,USA,US-OK,US-OK-40099,Murray County,geoId/40099,Q489477
Perry County,county,US-PA,US-PA-42099,3,fips_6-4,42099,US,USA,840,USA,US-PA,US-PA-42099,Perry County,geoId/42099,Q501298
Minnehaha County,county,US-SD,US-SD-46099,3,fips_6-4,46099,US,USA,840,USA,US-SD,US-SD-46099,Minnehaha County,geoId/46099,Q489222
Lawrence County,county,US-TN,US-TN-47099,3,fips_6-4,47099,US,USA,840,USA,US-TN,US-TN-47099,Lawrence County,geoId/47099,Q505968
Coryell County,county,US-TX,US-TX-48099,3,fips_6-4,48099,US,USA,840,USA,US-TX,US-TX-48099,Coryell County,geoId/48099,Q109785
King George County,county,US-VA,US-VA-51099,3,fips_6-4,51099,US,USA,840,USA,US-VA,US-VA-51099,King George County,geoId/51099,Q2613700
Wayne County,county,US-WV,US-WV-54099,3,fips_6-4,54099,US,USA,840,USA,US-WV,US-WV-54099,Wayne County,geoId/54099,Q495126
Price County,county,US-WI,US-WI-55099,3,fips_6-4,55099,US,USA,840,USA,US-WI,US-WI-55099,Price County,geoId/55099,Q505644
Moca Municipio,county,US-PR,US-PR-72099,3,fips_6-4,72099,US,USA,840,USA,US-PR,US-PR-72099,Moca,geoId/72099,Q2288079
Haines Borough,county,US-AK,US-AK-02100,3,fips_6-4,02100,US,USA,840,USA,US-AK,US-AK-02100,Haines Borough,geoId/02100,Q512981
Montgomery County,county,US-AL,US-AL-01101,3,fips_6-4,01101,US,USA,840,USA,US-AL,US-AL-01101,Montgomery County,geoId/01101,Q502784
Newton County,county,US-AR,US-AR-05101,3,fips_6-4,05101,US,USA,840,USA,US-AR,US-AR-05101,Newton County,geoId/05101,Q61370
Sutter County,county,US-CA,US-CA-06101,3,fips_6-4,06101,US,USA,840,USA,US-CA,US-CA-06101,Sutter County,geoId/06101,Q156377
Pueblo County,county,US-CO,US-CO-08101,3,fips_6-4,08101,US,USA,840,USA,US-CO,US-CO-08101,Pueblo County,geoId/08101,Q312731
Pasco County,county,US-FL,US-FL-12101,3,fips_6-4,12101,US,USA,840,USA,US-FL,US-FL-12101,Pasco County,geoId/12101,Q500992
Echols County,county,US-GA,US-GA-13101,3,fips_6-4,13101,US,USA,840,USA,US-GA,US-GA-13101,Echols County,geoId/13101,Q493029
Lawrence County,county,US-IL,US-IL-17101,3,fips_6-4,17101,US,USA,840,USA,US-IL,US-IL-17101,Lawrence County,geoId/17101,Q491470
Martin County,county,US-IN,US-IN-18101,3,fips_6-4,18101,US,USA,840,USA,US-IN,US-IN-18101,Martin County,geoId/18101,Q506479
Jefferson County,county,US-IA,US-IA-19101,3,fips_6-4,19101,US,USA,840,USA,US-IA,US-IA-19101,Jefferson County,geoId/19101,Q183135
Lane County,county,US-KS,US-KS-20101,3,fips_6-4,20101,US,USA,840,USA,US-KS,US-KS-20101,Lane County,geoId/20101,Q376849
Henderson County,county,US-KY,US-KY-21101,3,fips_6-4,21101,US,USA,840,USA,US-KY,US-KY-21101,Henderson County,geoId/21101,Q491894
St. Mary Parish,county,US-LA,US-LA-22101,3,fips_6-4,22101,US,USA,840,USA,US-LA,US-LA-22101,St. Mary Parish,geoId/22101,Q507088
Manistee County,county,US-MI,US-MI-26101,3,fips_6-4,26101,US,USA,840,USA,US-MI,US-MI-26101,Manistee County,geoId/26101,Q502727
Murray County,county,US-MN,US-MN-27101,3,fips_6-4,27101,US,USA,840,USA,US-MN,US-MN-27101,Murray County,geoId/27101,Q497482
Newton County,county,US-MS,US-MS-28101,3,fips_6-4,28101,US,USA,840,USA,US-MS,US-MS-28101,Newton County,geoId/28101,Q204761
Johnson County,county,US-MO,US-MO-29101,3,fips_6-4,29101,US,USA,840,USA,US-MO,US-MO-29101,Johnson County,geoId/29101,Q490019
Toole County,county,US-MT,US-MT-30101,3,fips_6-4,30101,US,USA,840,USA,US-MT,US-MT-30101,Toole County,geoId/30101,Q496722
Keith County,county,US-NE,US-NE-31101,3,fips_6-4,31101,US,USA,840,USA,US-NE,US-NE-31101,Keith County,geoId/31101,Q489659
Steuben County,county,US-NY,US-NY-36101,3,fips_6-4,36101,US,USA,840,USA,US-NY,US-NY-36101,Steuben County,geoId/36101,Q71100
Johnston County,county,US-NC,US-NC-37101,3,fips_6-4,37101,US,USA,840,USA,US-NC,US-NC-37101,Johnston County,geoId/37101,Q497938
Ward County,county,US-ND,US-ND-38101,3,fips_6-4,38101,US,USA,840,USA,US-ND,US-ND-38101,Ward County,geoId/38101,Q48927
Marion County,county,US-OH,US-OH-39101,3,fips_6-4,39101,US,USA,840,USA,US-OH,US-OH-39101,Marion County,geoId/39101,Q489553
Muskogee County,county,US-OK,US-OK-40101,3,fips_6-4,40101,US,USA,840,USA,US-OK,US-OK-40101,Muskogee County,geoId/40101,Q495867
Philadelphia County,county,US-PA,US-PA-42101,3,fips_6-4,42101,US,USA,840,USA,US-PA,US-PA-42101,Philadelphia County,geoId/42101,Q496900
Moody County,county,US-SD,US-SD-46101,3,fips_6-4,46101,US,USA,840,USA,US-SD,US-SD-46101,Moody County,geoId/46101,Q495219
Lewis County,county,US-TN,US-TN-47101,3,fips_6-4,47101,US,USA,840,USA,US-TN,US-TN-47101,Lewis County,geoId/47101,Q502077
Cottle County,county,US-TX,US-TX-48101,3,fips_6-4,48101,US,USA,840,USA,US-TX,US-TX-48101,Cottle County,geoId/48101,Q109622
King William County,county,US-VA,US-VA-51101,3,fips_6-4,51101,US,USA,840,USA,US-VA,US-VA-51101,King William County,geoId/51101,Q337204
Webster County,county,US-WV,US-WV-54101,3,fips_6-4,54101,US,USA,840,USA,US-WV,US-WV-54101,Webster County,geoId/54101,Q495137
