region_code,region_code_level,region_type,region_code_type,region_name,local_variant,local_language_name,alt_name_1,local_numeric_code,local_alpha_code,alt_name_2,alt_name_3,alt_name_4
BH-13,2,governorate,iso_3166-2,Al ‘Āşimah,Al Manāmah,,Capital Governorate,,,,,
BH-14,2,governorate,iso_3166-2,Al Janūbīyah,,,Southern Governorate,,,,,
BH-15,2,governorate,iso_3166-2,Al Muḩarraq,,,Muharraq Governorate,,,,,
BH-17,2,governorate,iso_3166-2,Ash Shamālīyah,,,Northern Governorate,,,,,
BI-BB,2,province,iso_3166-2,Bubanza,,,,,,,,
BI-BL,2,province,iso_3166-2,Bujumbura Rural,,,,,,,,
BI-BM,2,province,iso_3166-2,Bujumbura Mairie,,,,,,,,
BI-BR,2,province,iso_3166-2,Bururi,,,,,,,,
BI-CA,2,province,iso_3166-2,Cankuzo,,,,,,,,
BI-CI,2,province,iso_3166-2,Cibitoke,,,,,,,,
BI-GI,2,province,iso_3166-2,Gitega,,,,,,,,
BI-KI,2,province,iso_3166-2,Kirundo,,,,,,,,
BI-KR,2,province,iso_3166-2,Karuzi,,,,,,,,
BI-KY,2,province,iso_3166-2,Kayanza,,,,,,,,
BI-MA,2,province,iso_3166-2,Makamba,,,,,,,,
BI-MU,2,province,iso_3166-2,Muramvya,,,,,,,,
BI-MW,2,province,iso_3166-2,Mwaro,,,,,,,,
BI-MY,2,province,iso_3166-2,Muyinga,,,,,,,,
BI-NG,2,province,iso_3166-2,Ngozi,,,,,,,,
BI-RM,2,province,iso_3166-2,Rumonge,,,,,,,,
BI-RT,2,province,iso_3166-2,Rutana,,,,,,,,
BI-RY,2,province,iso_3166-2,Ruyigi,,,,,,,,
BJ-AK,2,department,iso_3166-2,Atacora,,,,,,,,
BJ-AL,2,department,iso_3166-2,Alibori,,,,,,,,
BJ-AQ,2,department,iso_3166-2,Atlantique,,,,,,,,
BJ-BO,2,department,iso_3166-2,Borgou,,,,,,,,
BJ-CO,2,department,iso_3166-2,Collines,,,,,,,,
BJ-DO,2,department,iso_3166-2,Donga,,,,,,,,
BJ-KO,2,department,iso_3166-2,Couffo,,,,,,,,
BJ-LI,2,department,iso_3166-2,Littoral,,,,,,,,
BJ-MO,2,department,iso_3166-2,Mono,,,,,,,,
BJ-OU,2,department,iso_3166-2,Ouémé,,,,,,,,
BJ-PL,2,department,iso_3166-2,Plateau,,,,,,,,
BJ-ZO,2,department,iso_3166-2,Zou,,,,,,,,
BN-BE,2,district,iso_3166-2,Belait,Belait,,,,,,,
BN-BM,2,district,iso_3166-2,Brunei-Muara,Brunei dan Muara,,,,,,,
BN-TE,2,district,iso_3166-2,Temburong,Temburong,,,,,,,
BN-TU,2,district,iso_3166-2,Tutong,Tutong,,,,,,,
BO-B,2,department,iso_3166-2,El Beni,,,,,,,,
BO-C,2,department,iso_3166-2,Cochabamba,,,,,,,,
BO-H,2,department,iso_3166-2,Chuquisaca,,,,,,,,
BO-L,2,department,iso_3166-2,La Paz,,,,,,,,
BO-N,2,department,iso_3166-2,Pando,,,,,,,,
BO-O,2,department,iso_3166-2,Oruro,,,,,,,,
BO-P,2,department,iso_3166-2,Potosí,,,,,,,,
BO-S,2,department,iso_3166-2,Santa Cruz,,,,,,,,
BO-T,2,department,iso_3166-2,Tarija,,,,,,,,
BR-AC,2,state,iso_3166-2,Acre,,,,,,,,
BR-AL,2,state,iso_3166-2,Alagoas,,,,,,,,
BR-AM,2,state,iso_3166-2,Amazonas,,,,,,,,
BR-AP,2,state,iso_3166-2,Amapá,,,,,,,,
BR-BA,2,state,iso_3166-2,Bahia,,,,,,,,
BR-CE,2,state,iso_3166-2,Ceará,,,,,,,,
BR-DF,2,federal district,iso_3166-2,Distrito Federal,,,,,,,,
BR-ES,2,state,iso_3166-2,Espírito Santo,,,,,,,,
BR-GO,2,state,iso_3166-2,Goiás,,,,,,,,
BR-MA,2,state,iso_3166-2,Maranhão,,,,,,,,
