open_covid_region_code,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
IRQ,IQ,Iraq,,,,,,2020-07-25,-30,-11,-21,-30,-17,12
IRQ,IQ,Iraq,,,,,,2020-07-26,-12,6,-12,-22,-22,11
IRQ,IQ,Iraq,,,,,,2020-07-27,-13,6,-9,-18,-22,10
IRQ,IQ,Iraq,,,,,,2020-07-28,-8,12,-7,-12,-22,10
IRQ,IQ,Iraq,,,,,,2020-07-29,4,28,-1,-3,-23,9
IRQ,IQ,Iraq,,,,,,2020-07-30,-21,9,-17,-17,-39,17
IRQ,IQ,Iraq,,,,,,2020-07-31,-35,-13,-22,-37,-15,10
IRQ,IQ,Iraq,,,,,,2020-08-01,-31,-13,-14,-31,-36,12
IRQ,IQ,Iraq,,,,,,2020-08-02,-28,-8,-16,-35,-51,15
IRQ,IQ,Iraq,,,,,,2020-08-03,-30,-8,-14,-32,-48,14
IRQ,IQ,Iraq,,,,,,2020-08-04,-25,-1,-15,-25,-39,14
IRQ,IQ,Iraq,,,,,,2020-08-05,-26,0,-19,-27,-37,14
IRQ,IQ,Iraq,,,,,,2020-08-06,-33,-9,-22,-27,-37,16
IRQ,IQ,Iraq,,,,,,2020-08-07,-36,-14,-25,-34,-11,11
IRQ,IQ,Iraq,,,,,,2020-08-08,-27,-8,-19,-22,-16,12
IRQ,IQ,Iraq,,,,,,2020-08-09,-10,8,-8,-16,-22,10
IRQ,IQ,Iraq,,,,,,2020-08-10,-13,8,-7,-12,-22,10
IRQ,IQ,Iraq,,,,,,2020-08-11,-12,6,-6,-16,-23,10
IRQ,IQ,Iraq,,,,,,2020-08-12,-13,10,-9,-14,-24,10
IRQ,IQ,Iraq,,,,,,2020-08-13,-31,-7,-19,-23,-33,15
IRQ,IQ,Iraq,,,,,,2020-08-14,-32,-8,-22,-29,-11,11
IRQ,IQ,Iraq,,,,,,2020-08-15,-24,-3,-14,-19,-15,11
IRQ,IQ,Iraq,,,,,,2020-08-16,-7,10,-7,-13,-22,10
IRQ,IQ,Iraq,,,,,,2020-08-17,-10,10,-3,-12,-22,9
IRQ,IQ,Iraq,,,,,,2020-08-18,-6,13,-1,-12,-22,9
IRQ,IQ,Iraq,,,,,,2020-08-19,-4,16,0,-13,-23,9
IRQ,IQ,Iraq,,,,,,2020-08-20,-15,4,-8,-22,-32,14
IRQ,IQ,Iraq,,,,,,2020-08-21,-14,5,-5,-25,-8,9
IRQ,IQ,Iraq,,,,,,2020-08-22,-3,11,2,-14,-8,9
IRQ,IQ,Iraq,,,,,,2020-08-23,2,18,3,-12,-21,10
IRQ,IQ,Iraq,,,,,,2020-08-24,3,19,11,-10,-20,9
IRQ,IQ,Iraq,,,,,,2020-08-25,8,25,14,-10,-22,9
IRQ,IQ,Iraq,,,,,,2020-08-26,10,28,15,-9,-21,9
IRQ,IQ,Iraq,,,,,,2020-08-27,3,19,10,-14,-25,11
IRQ,IQ,Iraq,,,,,,2020-08-28,4,21,10,-19,-6,7
